ID,LSH,LSL,LockA,LockB,DisSnsH,DisSnsL,State,ErrorA,ErrorB,CoilA,CoilB,HmiManBtn
CY1,MR1000,MR1001,MR1200,MR1201,MR2000,MR2001,MR3000,MR1600,MR1601,LR000,LR001,MR1700
CY2,MR1002,MR1003,MR1202,MR1203,MR2002,MR2003,MR3001,MR1602,MR1603,LR002,LR003,MR1701
CY3,MR1004,MR1005,MR1204,MR1205,MR2004,MR2005,MR3002,MR1604,MR1605,LR004,LR005,MR1702
CY4,MR1006,MR1007,MR1206,MR1207,MR2006,MR2007,MR3005,MR1606,MR1607,LR006,LR007,MR1703
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,s
